plant,planner,planner_arg,seed,rep,wall_s,return_sum,return_mean,steps_survived,survived,diverged,frac_diverged,plan_return_mean,optimism_gap,pred_err_1step,vel_err,yaw_rate_err,torque_rms
0.5,0.5,match,0,0,60.23383402824402,8.404177248477936,0.8404177248477935,10.0,0.0,0.0,0.03916272588281168,-0.271964215570026,-1.1123819404178195,0.018341679227281322,0.13104853704571723,0.6633234169334173,31.339436763140135
0.5,1.0,1.0,0,0,0.8476681709289551,9.355203211307526,0.6682288008076804,14.0,0.0,0.0,0.00402072209936495,-0.8434944330499723,-1.5117232338576527,0.06186838032534489,0.2302991465798446,0.47844885662198067,43.7825778912674
0.6,0.6,match,0,0,0.5656394958496094,6.742648482322693,0.8428310602903366,8.0,0.0,0.0,0.031834336662931104,-0.3974111420767648,-1.2402422023671014,3.354166450922743e-05,0.133301904425025,0.417261665686965,25.973427324901756
0.6,1.0,1.0,0,0,0.6026291847229004,7.449908077716827,0.8277675641907586,9.0,0.0,0.0,0.011560514569282532,-0.27135471627116203,-1.0991222804619207,0.03752915561199188,0.16678892655505073,0.3292861216598087,31.143000275058117
0.7,0.7,match,0,0,0.6553423404693604,7.623483955860138,0.8470537728733487,9.0,0.0,0.0,0.02227305472479202,-0.22541909664869308,-1.0724728695220418,0.01312001080157188,0.13302038568589422,0.31647847178909516,28.854635847663346
0.7,1.0,1.0,0,0,0.4896707534790039,4.9162278175354,0.8193713029225668,6.0,0.0,0.0,0.009038553247228265,-0.13811858594417573,-0.9574898888667425,0.02090049982070923,0.1625839558740457,0.05093312698105971,32.08884799346478
1.0,1.0,match,0,0,0.691903829574585,9.330322563648224,0.8482111421498385,11.0,0.0,0.0,0.0074084901716560125,-0.09621240738779306,-0.9444235495376315,3.527950357238296e-05,0.16125007718801498,0.3562535396353765,32.92062611648459
1.0,1.0,1.0,0,0,0.5192232131958008,5.760557472705841,0.8229367818151202,7.0,0.0,0.0,0.016227424144744873,-0.21432644128799438,-1.0372632231031145,0.03772829056227541,0.16145914793014526,0.5172476678022316,33.109329440658335
1.4,1.4,match,0,0,0.6921167373657227,9.3891641497612,0.8535603772510182,11.0,0.0,0.0,0.006037089822348208,-0.16836151778697966,-1.0219218950379978,0.008355625724288985,0.1505617028610273,0.07575452429327098,27.74960619297888
1.4,1.0,1.0,0,0,2.2366652488708496,21.660827696323395,0.4420577080882325,49.0,0.0,0.0,0.010939276714149552,-0.5804746018062966,-1.0225323098945291,0.02917379701587682,0.5312498231627503,0.8198633709428261,28.71217716394773
2.0,2.0,match,0,0,0.8067433834075928,11.024148941040039,0.8480114570030799,13.0,0.0,0.0,0.0012973805278306827,0.1577505636960268,-0.6902608933070531,0.005173486375535201,0.15656407378040826,0.6240223289395754,33.413962526940786
2.0,1.0,1.0,0,0,0.926811695098877,13.228923678398132,0.7781719810822431,17.0,0.0,0.0,0.010151290895009879,-0.33789217099547386,-1.1160641520777168,0.05068188806762919,0.1926461562843007,0.9929744183798047,30.8249854192303
0.5,0.5,match,1,0,0.6462740898132324,8.265483677387238,0.8265483677387238,10.0,0.0,0.0,0.03357734681210584,-0.42583483705917996,-1.2523832047979038,0.008408805726806653,0.14495650976896285,0.5130470614880324,29.6984138296405
0.5,1.0,1.0,1,0,0.5160231590270996,5.881085157394409,0.8401550224849156,7.0,0.0,0.0,0.012258009111974388,0.012382281323273977,-0.8277727411616416,0.04577086834857861,0.12750080972909927,0.20089665161711828,29.67516492154365
0.6,0.6,match,1,0,0.7370104789733887,9.854561865329742,0.8212134887774786,12.0,0.0,0.0,0.030586975266818296,-0.33727695725180884,-1.1584904460292873,3.215823976047845e-05,0.17630881040046611,0.8578360348474234,29.181392839433084
0.6,1.0,1.0,1,0,0.8581688404083252,12.090950667858124,0.8060633778572083,15.0,0.0,0.0,0.010363938128908299,-0.6370806715318135,-1.4431440493890217,0.036318638761128695,0.2085853820045789,1.270340693493684,31.37142509773441
0.7,0.7,match,1,0,0.5118036270141602,5.8553884625434875,0.836484066077641,7.0,0.0,0.0,0.020815026752340298,-0.17938008407751718,-1.0158641501551582,0.0002865733059328098,0.13885357763086045,0.11727904541684049,31.366588144458415
0.7,1.0,1.0,1,0,0.6364650726318359,7.510718524456024,0.8345242804951138,9.0,0.0,0.0,0.010919958353042603,-0.23025119490921497,-1.0647754754043288,0.02070111670764163,0.168385940293471,0.07002891895050804,30.193507524974617
1.0,1.0,match,1,0,0.7619481086730957,11.068096935749054,0.8513920719806964,13.0,0.0,0.0,0.02102244495957469,-0.29817578103393316,-1.1495678530146296,0.008745768960693567,0.16383470680851203,0.11952890154833977,32.51803092303066
1.0,1.0,1.0,1,0,0.6386580467224121,8.421668529510498,0.8421668529510498,10.0,0.0,0.0,0.010324817228441438,-0.16902196572886574,-1.0111888186799156,2.3135856079332167e-05,0.17475230097770691,0.3477335095405579,35.55559984787195
