plant,planner,planner_arg,seed,rep,wall_s,return_sum,return_mean,steps_survived,survived,diverged,frac_diverged,plan_return_mean,optimism_gap,pred_err_1step,vel_err,yaw_rate_err,torque_rms
0.5,0.5,match,0,0,57.73085403442383,101.18157631158829,0.7075634707104076,143.0,0.0,0.0,0.001035200709864025,0.15792225644936864,-0.549641214261039,0.002083999890219371,0.2614768573532363,0.9525544485207517,31.895541725410627
0.5,1.0,1.0,0,0,0.587364673614502,18.634966671466827,0.8470439396121285,22.0,0.0,0.0,0.0,0.861618561404092,0.014574621791963449,0.19153907138942963,0.19175301496447486,0.7316908429969441,46.26589154433751
0.7,0.7,match,0,0,8.980997085571289,371.1547659635544,0.927886914908886,400.0,1.0,0.0,0.0,0.8983447188138962,-0.02954219609498976,0.001210933863187147,0.07988193684839644,0.785070047902409,21.4639938743279
0.7,1.0,1.0,0,0,8.979394435882568,370.16861844062805,0.9254215461015701,400.0,1.0,0.0,0.0,0.8958897210657597,-0.02953182503581042,0.022767394641939467,0.0838883760292083,0.7340580899306224,22.521455269929458
1.0,1.0,match,0,0,9.138787508010864,371.08989703655243,0.927724742591381,400.0,1.0,0.0,0.0,0.8991439574956894,-0.02858078509569162,0.000901164511056027,0.08195025460794568,0.7091682189889252,22.257960583136313
1.0,1.0,1.0,0,0,9.006068229675293,371.11750799417496,0.9277937699854374,400.0,1.0,0.0,0.0,0.898418163061142,-0.029375606924295417,0.0008726896459480647,0.08058223832107615,0.7010568686528131,21.566958251919793
1.4,1.4,match,0,0,8.979901552200317,371.1414209008217,0.9278535522520542,400.0,1.0,0.0,0.0,0.8981509053707123,-0.029702646881341943,0.0006565750537728967,0.07222624009475112,0.6405032210447825,23.080952859510678
1.4,1.0,1.0,0,0,9.020667791366577,372.0475981235504,0.930118995308876,400.0,1.0,0.0,0.0,0.8981709858775139,-0.03194800943136211,0.015976485339510384,0.07832768133055651,0.6446196836233139,22.049717930094655
2.0,2.0,match,0,0,9.028217554092407,371.4014919400215,0.9285037298500538,400.0,1.0,0.0,0.0,0.8997186946868897,-0.028785035163164108,0.0006290865430562297,0.07340016756323166,0.6455065063526854,22.981791010452074
2.0,1.0,1.0,0,0,8.97176194190979,369.81056302785873,0.9245264075696469,400.0,1.0,0.0,0.0,0.8961624513566494,-0.028363956212997476,0.03501779064862875,0.09055319110862911,0.8062149189179764,23.209149402216926
0.5,0.5,match,1,0,8.979873418807983,342.1950253248215,0.8554875633120537,400.0,1.0,0.0,0.0009730353951454163,0.759841243699193,-0.09564631961286063,0.0011720170747805657,0.15630780188534119,0.8451353030768223,27.279380494477987
0.5,1.0,1.0,1,0,0.81756591796875,27.361320734024048,0.8550412729382515,32.0,0.0,0.0,0.0,0.8717935200660459,0.01675224712779444,0.1516878218540261,0.20919627841794863,0.967457095219288,43.28326357485296
0.7,0.7,match,1,0,9.01485824584961,370.14137279987335,0.9253534319996833,400.0,1.0,0.0,0.0,0.8950975444912911,-0.030255887508392254,0.001585759504997899,0.07608056751196272,0.7941930847079494,23.175954446407445
0.7,1.0,1.0,1,0,8.964754581451416,370.05236691236496,0.9251309172809123,400.0,1.0,0.0,0.0,0.8944183893501758,-0.030712527930736533,0.02892891840920562,0.08042486565827858,0.6960738444706658,23.689194400144125
1.0,1.0,match,1,0,8.953545093536377,370.43968188762665,0.9260992047190666,400.0,1.0,0.0,0.0,0.8978747011721134,-0.02822450354695316,0.0009371330207901146,0.07798973476747051,0.7304289421997965,21.848549156337423
1.0,1.0,1.0,1,0,9.075130462646484,371.1051223874092,0.927762805968523,400.0,1.0,0.0,0.0,0.898333942592144,-0.029428863376378955,0.0009743448682122864,0.07959143298328854,0.7335708353086374,21.966052938979804
1.4,1.4,match,1,0,8.984442472457886,372.1532094478607,0.9303830236196518,400.0,1.0,0.0,0.0,0.9002991572022438,-0.0300838664174079,0.000829455976438732,0.08008571625861804,0.6148094502254389,20.752091126838934
1.4,1.0,1.0,1,0,9.06921648979187,371.36125898361206,0.9284031474590302,400.0,1.0,0.0,0.0,0.895727111697197,-0.0326760357618332,0.01736518912767772,0.08050043211434968,0.7071461661334615,21.42796064906008
2.0,2.0,match,1,0,9.058704376220703,370.9192355275154,0.9272980888187885,400.0,1.0,0.0,0.0,0.8977529165148735,-0.029545172303914957,0.0005197222234697131,0.06874518958968111,0.667107908364851,23.69082518818686
2.0,1.0,1.0,1,0,8.977943658828735,368.3044807314873,0.9207612018287182,400.0,1.0,0.0,0.0,0.8909620262682438,-0.0297991755604744,0.036622067127974334,0.09298983448417858,0.7477166955673602,22.27555372168584
0.5,0.5,match,2,0,8.904024839401245,332.23508566617966,0.8305877141654492,400.0,1.0,0.0,0.0007530500888788083,0.7330097284913063,-0.09757798567414289,0.0022377087697487696,0.19941319936187937,0.8728373058943544,29.992173879888114
0.5,1.0,1.0,2,0,1.252058982849121,45.75073313713074,0.879821791098668,52.0,0.0,0.0,0.0,0.8741837646446976,-0.0056380264539703795,0.12350762512206155,0.17779989562068993,1.1514788993562644,41.64588649176466
0.7,0.7,match,2,0,8.978399991989136,371.4986518025398,0.9287466295063496,400.0,1.0,0.0,0.0,0.8946303088963031,-0.034116320610046436,0.0018687935174326175,0.08227233718440402,0.7419769509299659,21.33770888259272
0.7,1.0,1.0,2,0,9.035499811172485,370.16323298215866,0.9254080824553966,400.0,1.0,0.0,0.0,0.8965626601874829,-0.028845422267913756,0.024634382999408757,0.07845277693471871,0.6925601253542117,22.777313890380338
1.0,1.0,match,2,0,8.942156553268433,371.51172387599945,0.9287793096899987,400.0,1.0,0.0,0.0,0.8979600547254085,-0.030819254964590148,0.0007370589342678128,0.08034632331342437,0.6403529185825028,21.286250365040697
1.0,1.0,1.0,2,0,8.986452341079712,371.4028864502907,0.9285072161257267,400.0,1.0,0.0,0.0,0.8966723197698593,-0.03183489635586745,0.0011569806295638433,0.08335423446143977,0.6928648074879311,21.61827787295666
1.4,1.4,match,2,0,9.040745973587036,371.39163506031036,0.9284790876507759,400.0,1.0,0.0,0.0,0.8974113163352012,-0.0310677713155747,0.0006424391474750161,0.07362373222596943,0.6591321280162084,22.100529990810404
1.4,1.0,1.0,2,0,8.990113496780396,371.32659965753555,0.9283164991438388,400.0,1.0,0.0,0.0,0.8975480081140995,-0.03076849102973933,0.01543328411822303,0.0860160703479778,0.6705772029981018,22.329585963637566
